Identifier,Sold,"Inventory Stock"
DONDBF5967,4,0
DONP582021,7,0
DONP527484,2,0
DONP207341,6,0
DONP821575,6,0
DONP550012,2,0
DONP550057,1,0
DONP822686,1,0
DONP556915,1,0
DONP551670,1,0
DONP153551,13,60
DONP165569,1,0
DONP551838,2,0
DONP550529,1,0
DONP550519,2,0
DONP550425,1,0
DONP181099,6,0
DONP550518,1,0
DONP616056,8,0
DONP206601,12,0
DONP573097,1,0
DONP137957,6,0
DONP206607,1,0
DONP645114,1,0
DONP618478,1,342
DONP607965.,1,0
DONP614221,0,11
DONP534925,0,1
DONP528206,0,60
DONP534816,0,75
DONP637453,0,30
DONP606720,0,4
DONP629641,0,6
DONP625287,0,1
DONP625128,0,0
DONP611190,0,1
DONP613336,0,2
DONP206323,0,1
DONP611189,0,0
DONP553009,0,2
DONP556916,0,0
DONP551318,0,1
DONP550880,0,2
DONP550828,0,25
DONP551844,0,1
DONP550387,0,500
DONP165876,0,66
DONP167162,0,2
DONP554005,0,14794
DONP171738,0,148
GRO52063,8,0
GRO81-0001-38B,13,0
GRO83-8002,4,0
GRO41160,42,0
GRO67050,676,0
GRO91740,344,7
GRO52772,444,0
GROG3002,42,0
GRO53962,4,9
GRO54223,2,0
GRO83-8003-S,18,44
GRO41050,3,0
GRO91400,147,0
GRO83-3110,3,0
GRO60721,2,0
GROBZ201-5,10,0
GRO83-3112,4,0
GRO83-3111,13,0
GRO12173,1,0
GRO43960,59,0
GRO47962,15,0
GRO83-3350,24,0
GRO83-6029,48,0
GRO41003,332,0
GRO83-8003,7,0
GRO60261,338,0
GRO83-6019,42,0
GRO83-3550,13,0
GRO83-2380,13,0
GRO84-2305,2,0
GROG4002,6,0
GRO45822,15,0
GRO45823,12,0
GRO49333,69,0
GRO83-6023,28,0
GRO49342,4,0
GRO77363,3,6
GRO92120,98,0
GRO87-7000,4,0
GRO87-7002,4,0
GRO49362,2,0
GRO83-2624,7,0
GRO82-2188,30,0
GRO82-5502,2,0
GRO45812,132,0
GRO45813,22,0
GRO41002,210,0
GROG3003,20,0
GRO84-1076,26,0
GRO83-3350-3,8,0
GRO83-3150,7,0
GRO83-8001,5.5,0
GRO81-0102-08,1,0
GRO78113,1,0
GRO84-5006-3,1,0
GRO60151,1,0
GRO91302,1,0
GRO53973,7,0
GRO66843,8,0
GRO83-6021,10,0
GRO54672,1,0
GRO83-6554,1,0
GRO83-6001,1,0
GRO82-5624,250,0
GRO67090,29,0
GRO44710,17,24
GRO47963,16,1
GRO66911,16,56
GRO45832,13,0
GRO83-6012,5,0
GRO43100,6,0
GRO83-3104,34,0
GRO52893-3,2,0
GRO83-6040(PC),23,0
GRO47972-3,1,0
GRO73040,8,9
GRO83-6016,13,4
GRO82-5824-250,18,0
GRO82-5760-1200,402,0
GRO82-FSA-10A-G,2,0
GRO81-0145,22,4
GRO40641,2,0
GRO83-6018,3,35
GRO83-6040PK,3,0
GRO81-0133,6,0
GRO83-2305,2,0
GRO83-2304,2,0
"GRO83-6040 LOSS",91,0
GRO82-1019,29,2
GRO82-1002,9,0
GRO81-0001-B,35,0
GRO81-0001-R,40,0
GRO83-2510,6,0
GRO81-0132,14,7
GRO82-1044,5,6
GRO84-9429,6,0
GRO84-9307,2,10
GRO82-1046,1,0
GROG4502,30,0
GRO92070,102,0
GRO82-1043,3,0
GRO49322,10,0
GRO43343,3,0
GROBZ301-5,2,0
GRO84-2458,1,0
GRO83-6507,3,0
GRO94180,14,0
GRO81-0001-38R,15,0
GRO462LH-KIT,1,0
GRO462RH-KIT,1,0
GRO53100,2,0
GRO84-2412,1,0
GRO82-1045,1,0
GRO81-0001,5,0
GRO83-2387,1,0
GRO84-2803,1,0
GRO87-7006,1,66
GRO82-1000,3,0
GRO47173,1,0
GRO82-1005,2,0
GRO54362,1,0
GRO84-9690,1,0
GRO42-3156-00,0,0
GRO68680,0,0
GRO82-2145,0,3
GRO82-2150,0,0
GRO43272,0,0
GRO68670,0,6
GRO84-5006-48,0,9
GRO49323-3,0,1
GRO89-7006,0,2
GRO89-8006,0,0
GRO82-2248,0,0
GRO82-MGGA-125A,0,4
SHE550045349,156,0
SHE550045135,49,0
SHE50045128,11,0
SHE550046217,39,0
SHE550063704,46,0
SHE550045506,1,0
SHE550045136,119,0
SHE550044284,14,0
SHE550027557,1289,0
SHE550046220,29,0
SHE550027638,30,0
SHE550045128,288,0
SHE550045128-EHC,228,0
SHE550026891,84,0
SHE550026891-EHC,42,0
SHE550045136-EHC,21,0
SHE550046217-EHC,8,0
SHE550046220-EHC,7,0
"SHE550067157 EHC",48,0
SHE550045018.,1,0
SHE550032579,10,0
SHE550045135.,6,26
SHE550045390,0,4
SHE550032647,0,15
SHE550027631,0,1
SHE550042083,0,1
GAT38569,4,0
GATK080505HD,3,0
GAT28359,2,0
GAT9500,1,0
GAT9505,1,0
GAT24626,3,0
GAT33579,2,0
GAT36223,1,0
GAT36231,0,1
GAT36282,0,8
GAT7325,0,0
GAT44062HD,0,2
GAT38702,0,24
GAT27003,0,5
GAT38506,0,14
GATK060516HD,0,3
GAT38667,0,5
GAT36164,0,1
GAT38513,0,2
GAT38701,0,3
HOLXA-V-90-10,66,0
HOLRK351-A-L,4,0
HOL50618006,18,0
HOLRK-331-1,19,0
HOL51830052,14,0
HOL51830053,10,0
HOLXA-S8-5A105,7,0
HOLLGS-5A105,2,0
HOL2073190000170,3,0
HOLLGS-3A105,3,0
HOLXB-BAL-023-01,6,0
HOLXB-SPG-020-02,6,0
HOLLGS-3A115,2,0
HOL50618007,2,0
HOL03057000603,4,0
HOLLG400B-715000000,1,0
HOLKP-T-809-BF,1,0
HOLXA-39,0,1
HOL50860014,0,0
HOLXA-V-90-10.,0,2
HOLAXAV-90-10,0,1
HOLXB-0011,0,2
HOLLAND,0,2
HOL2073190000150,0,3
SKF47691,149,0
"SKF SET401",11,0
"SKF SET403",14,10
SKF1608,2,0
"SKF SET408",2,0
"SKF SET411",2,0
SKF38780,2,0
SKFSET402,0,13
SKFSET413,0,27
SKFSET415,0,12
SKFSET430,0,4
SKF46300,0,0
SKFSET427,0,2
SKF42627XT,0,65
SKF35058,0,0
SKFSET428,0,0
SKF31281,0,0
SKFSET401,0,0
SKF238,0,24
SKFSET415VH,0,3
"SKF 401201",0,2
SKF27438,0,0
TSEK10030151,9,0
TSEHD3030C,79,0
TSEK1003025,30,0
TSEK1103023,78,4
TSEHD30S,3,0
TSEHD12S,4,0
TSEHD20S,5,0
TSEK1003015-PL,0,3
TSEK11,0,0
TSEELSB-1824D,0,0
STM373-0143,271,0
STM373-0123,21,0
STM330-3118,321,0
STM330-3009,2480,2
STM330-3111,168,0
STM600-9999,7,0
STM303-4009,443,0
STM330-3107,204,0
STM330-3024,125,0
STM352-4195,8,0
STM303-4195,7,0
STMSET414,8,0
STMSET413,8,0
STM393-0273,1,0
STM303-4024,10,6
STM393-0173,10,0
STM307-0723,1,0
STM650-0537,0,2
STMSET401,0,1
STM555-0001,0,4
MID90555376,3,0
MID40010211,6,42
MID40010212,6,34
MID4721950330X-C1,1,0
MID4721950330X,1,0
MIDGC3030L,1,0
MID40010155,0,10
MID40010216,0,6
MIDSN144BE,0,4
