"Client Name","Phone Number",Total,Current,31-60,61-90,91+
"ABS TRUCK AND TRAILER PARTS LTD",7804794700,13072.04,0,0,0,13072.04
"MANRAJ MOTOR LTD",5877086644,10824.76,10069.9,754.86,0,0
"INLINE WELDING",7809355304,8732.19,2253.47,3755.85,2722.86,0
"D TOWN DIESEL REPAIR",7807291007,6837.24,6837.24,0,0,0
"BOOTS TRANSPORT",3065963986,3466.17,3180.11,286.06,0,0
"2687531 Alberta Ltd",7803184949,3173.78,327.41,2846.37,0,0
"HOLMAN'S HAULING INC",7802352212,2704.97,153.55,2551.42,0,0
"AJB TRUCK LINES",4164609997,2598.35,2598.35,0,0,0
"JIYA TRUCKING LTD",7802428118,2544.8,564.12,1980.68,0,0
"ABS TRUCK WASH & LUBE LTD NISKU",7803341900,1965.4,0,0,0,1965.4
"SEASTONE TRANSPORT LTD",7802436000,1746.2,1746.2,0,0,0
"STEWART BELLAND & ASSOC. INC.",7804659725,1398.47,1398.47,0,0,0
"INDUSTRIAL DIESEL PERFORMANCE LTD.",7802334433,1161.15,1161.15,0,0,0
"TIGER CALCIUM LTD",7809555004,870.78,870.78,0,0,0
"Ambipar Industrial Services",7809557460,738.54,738.54,0,0,0
"GEAR HUB TRUCK & TRAILER REPAIR LTD.",7802436000,717.77,717.77,0,0,0
"WHITE HAWK WELDING & MECHANICAL",7809954686,621.51,621.51,0,0,0
"KENCOR HEAVY HAUL LTD",7809550002,617.18,0,617.18,0,0
"JABS TRUCKING LTD",7802428090,424.06,0,424.06,0,0
"ABS TRUCK WASH AND LUBE LTD",7809133777,323.23,0,0,0,323.23
"CAPITAL CITY TRUCKLINES LTD",7802994056,272.12,0,0,0,272.12
"ABS TRUCK AND TRAILER PARTS",7806998087,272.12,0,0,272.12,0
"BROCKHOFF ENTERPRISES LTD",7806738735,224.68,224.68,0,0,0
"AKON EXPRESS 1669518 ALBERTA LT",7802972834,216.26,216.26,0,0,0
"TG FLEET SERVICES",7807170087,135.09,135.09,0,0,0
"ABCO CRANE SERVICES LTD",7807565606,128.39,128.39,0,0,0
"TRANSLOGIC TRUCK LINES",6045074388,117.57,117.57,0,0,0
"PARK-AID ASHPHALT AND MAINTENAN",7804697539,103.44,103.44,0,0,0
"SEN-DIT ENERGY SERVICES",7807190455,69.24,69.24,0,0,0
"DHARNI TRUCKING",7806809555,67.17,67.17,0,0,0
"D&W FORWARDERS - WERKMAN LTD",7806747916,58.76,58.76,0,0,0
"SEMAN TRUCKING",7807295590,32.82,0,32.82,0,0
"1574234 AB LTD",7802677990,28.86,28.86,0,0,0
"BOB REDMAN",7806998087,10.4,10.4,0,0,0
"NATFIL ENTERPRISE INC",3063514261,5.78,5.78,0,0,0
"ALK TRUCKING LTD",7802784125,2.47,0,0,2.47,0
"TRU LOAD TRANSPORT LTD",7783211704,0,0,0,0,0
"ZARA OLIVER ENTRPRISES LTD",3062625754,-36.33,-36.33,0,0,0
"2063242 Ab Ltd",7808845382,-61.73,0,-61.73,0,0
"THUNDER 5 FUEL SERVICE",7802930109,-100.8,0,-100.8,0,0
"TRIPOD TRANSPORT LTD",6047100613,-189,0,0,0,-189
"11379372 CANADA INC.",4376882117,-314.99,0,0,-314.99,0
"**** TOTAL AMOUNTS ****",,65580.88,34367.86,13086.77,2682.46,15443.79